195,DENE VALLEY COACHES
196,DARTLINE COACHES
197,POLPERRO SHUTTLE BUS
198,COOMBS TRAVEL
199,LANSDOWN COACHES
200,LINKRIDER COACHES
201,JACKIES COACHES
202,MICHAELS TRAVEL
203,PORT ISAAC TAXI CO
204,ABUS
205,THE OXFORD BUS COMPANY
206,CHANDLERS COACH TRAVEL
207,READING BUSES
208,STAGECOACH IN PORTSMOUTH
209,FLEET BUZZ
210,STAGECOACH HANTS & SURREY
211,STAGECOACH IN FLEET
212,STAGECOACH IN HAMPSHIRE
213,STAGECOACH IN OXFORDSHIRE
214,OXFORD TUBE
215,ALDERMASTON COACHES
216,LUCKETTS TRAVEL
217,ISLE VALLEY TRANSPORT
218,CHENEY TRAVEL
219,WHITE BUS SERVICES
220,Courtney Buses
221,GUIDE FRIDAY CITY SIGHTSEEING OXFORD
222,VINTAGE TOURS
223,MERVYNS COACHES
224,GRAYLINE COACHES
225,GRAYLINE
226,CHARLTON ON OTMOOR SERVICES
227,CARDIFF BUS
228,NEWPORT BUS
229,SILCOX COACHES
230,CAPITOL GROUP
231,J H DAVIES & CO
232,RICHARD BROS
233,WILLIAMS COACHES
234,THOMAS COACHES
235,GLOBE COACHES
236,CAPITOL HIRE
237,D A MASON MINIBUS HIRE
238,CARING COACHES
239,60 - 60 COACHES
240,THOMAS BROS
241,STAGECOACH IN SOUTH WALES
242,BRIGGS COACH HIRE
243,JENSON
244,BARNEYS COACHES
245,CAPITAL LINKS
246,RIDGWAYS OF GLAMORGAN
247,CHEPSTOW CLASSIC BUSES
248,ROB'S MINI BUS
249,EYNONS COACHES
250,PENTRE MOTORS/CLWYDIAN
251,CLYNNOG & TREFOR
252,ALPINE TRAVEL
253,EXPRESS MOTORS
254,STRAFFORDS COACHES
255,T H JONES & SON
256,ARRIVA BUSES WALES
257,H D HUTCHINSON & SON
258,WOOLLEYS COACHES
259,'GILBERTS OF RHYL'
260,CARREGLEFN COACHES
261,CERBYDAU BERWYN COACHES
262,EAGLES & CRAWFORD
263,ROBERTS MINI COACHES
264,D JONES & SON BUS & COACH TRAVEL
265,ROY BROWN'S COACHES
266,STRATOS TRAVEL
267,R J JONES TRAVEL
268,ADEYS TAXIS
269,TAF VALLEY COACHES
270,HAPPY DAYS COACHES
271,GLASBURY PRIVATE HIRE
272,BLUE-BIRDS
273,BLUE-BIRDS TRAVEL
274,TANAT VALLEY COACHES
275,HANCOCKS COACHES
276,JOHN'S COACHES
277,LEEWAY BUS COMPANY
278,GOODSIR COACHES
279,BRODYR JAMES
280,LLEW JONES INTERNATIONAL
281,PHENIOX TRAVEL
282,GLYN EVANS & SON
283,MIDWAY MOTORS
284,DANSA
285,SMITHS TRAVEL
286,JD AUTO'S
287,NEFYN COACHES
288,PRICE COACHES
289,WALTONS COACHES
290,CALL A CAB
291,TOWNLYNX
292,EDWARDS BROS
293,JOHNS TRAVEL
294,A2B
295,GWYNFOR COACHES
296,PHIL  ANSLOW AND SONS COACHES
297,D R TAXIS MINIBUS & COACH HIRE
298,HATCH GREEN COACHES
299,A L S TRAVEL
300,PAT'S CABS
301,DIAL-A-BUS
302,Charlie Browns Buses
303,MINIBUS PLUS.COM
304,TAPPINS COACHES
305,J P SMEE
306,YEO'S CONTRACTS
307,Royal Buses
308,A2B Newquay Travel & JC Tours
309,SMITH'S COACHES
310,OTS MINIBUS & COACH HIRE
311,HOLIDAY INN BRISTOL AIRPORT
312,JACKETT'S COACHES
313,LOCAL HAUNTS
314,FARGO COACHES
315,ENGLISH RIVIERA TOURS
316,BLUESTAR
317,MOREBUS
318,SOUTHERN VECTIS
319,UNI-LINK
320,SALISBURY REDS
